Title,Entry
distimi,"tedavisi olan bir rahatsızlıktır.yukarıdaki entry'lerde yeterince tanımlanmış, peki bu durumu aşmak için neler yapılabilir ?öncelikle farkındalık, bu illetten muzdarip olan birçok insan durumunu karakteristik bir özellikmiş gibi tanımlar ki tarihte distimiye karekterolojik depresyon dendiği dönemler de olmuştur.ben hep böyleyim, böyleydim, depresifim; ama olmayabilirsin çünkü distimi inatçıdır, uzun yıllar devam eder ve distimikler eski mutlu zamanları hatırlamada dahi sıkıntı yaşarlar. bazıları ise hayatlarında bir kırılma noktası olduğunun farkındadır, kırılma noktası olarak gördükleri olay majör depresyon geçirmelerine sebep olmuştur belki sonrası işte distimi. bir de bu durumlarını aydınlanma olarak görenler var. onlara göre aslında insan özünde kötü, dolayısıyla hayat kötüdür ve diğerleri kendilerini kandırır, böyle olunca da ortada tedavi edilecek bir durum görülmez. evet hayat toz pembe değil ama bir ayın 20 günü yorgun, isteksiz, öfkeli, ilgisizseniz; çoğu zaman uyku problemi yaşıyorsanız bu durum düzeltilmeye değer.insanın özünde kötü olduğu inancına gelince;the infant cognition center isimli bebekler üzerinde çeşitli deneylerin yapıldığı bu merkezde yapılan araştırmalardan biri şöyle; 1 yaşındaki bebeklerin adalet duygusunu ölçmek için bir gösteri izletiliyor. gösteride top oynayan 3 kukla var. merkezdeki kukla topu önce sağdaki kuklaya atıyor ve sağdaki topu tekrar atıyor. daha sonra ise merkezdeki kukla topu soldaki kuklaya atıyor ve soldaki kukla topu alıp kaçıyor. kuklalar bebeklerin önüne getirildiğinde bebekler soldaki kuklayı kendilerince cezalandırıyor.başka bir araştırmada geometrik şekiller kullanılıyor. sarı kare dairenin tepeye tırmanmasına yardım ederken kırmızı üçgen daireyi engelleyip düşürüyor. sonrasında bebeklerden kare ya da üçgenden birini seçmeleri isteniyor ve bebekler daireye yardım eden kareyi seçiyorlar.bunlar sadece araştırmalardan ikisi ve buna rağmen insan özünde iyidir demiyorum fakat freud gibi özünde kötü olduğuna da katılmıyorum. hobbes da ateşli bir şekilde insanın özünde kötü olduğunu savunur. kapitalizmin babası adam smith “tüm insanlarda bir kar güdüsü vardır"" diyerek tarafını belli eder.hristiyanlık ve yahudilik inancında da keza öyle, hristiyanlık’ta yeni doğan bebekler günahlarından arındırılmak için vaftiz edilir. islam’a ve taoizme göre ise insan özünde iyidir. budizm, özünde iyi olduğunu savunmakla beraber kısmen toplumsallığa da dem vurur.insanın özünde iyi olduğunu savunan düşünürlere gelirsek bunların çoğu hümanist tabii; rousseau, bergson, roger, maslow örnek verilebilir.bir de insanın özünde ne iyi ne de kötü olduğunu savunanlar var ki bunlar çoğunlukla varoluşçular. misal sartre “varoluş özden önce gelir” der. camus da aynı şekilde varoluşu yani toplum etkisini önceler. varoluşçular dışında baba filozoflardan kant insanın hem toplumsallaşma hem de toplum dışı eğilimleri olduğunu savunur. marx dede ise “gattungswesen” kavramıyla insanın kendi özünü şekillendirdiğini yani toplumsal olduğunu savunur. neo freudian'lerden fromm ve horney (ikisi de bebeklerim) de aynı şekilde toplumsallığı ön plana alırlar. distimi diye başladım nerelere geldim yani demem o ki budistlerin savunduğu gibi özümüzde her duygudan bir parça var, eksik olmasın buda üflemiş fakat toplumun etkisi de yatsınamaz. kendinize çok yüklenmeyin, distiminiz varsa onu sevip büyütmeyin, inanın tedavi olmaya değer.durumumuz yoktu okuyamadık diyenleri darwin çağırıyor, may the doğal seleksiyon be with you.the moral life of babiesfelsefe ve insan doğası"
distimi,"ılacı düzenli hayat ve mesguliyet. sürekli çalışmak, üretmek, sevmek, sevilmek, daha çok öğrenmek, daha çok bilmek. ve iyileşme umudunu yitirmemek. yirmi yıllık distimi hastası da olsanız bir gün acının katlanilabilir hale geleceğine inancinizi yitirmeyin ve gerekirse on yıllarca düzenli terapi görün. ""çok depresifsin, azıcık gül"" diyen insanların desteğiyle ayakta durmak zor. ve evet hayattan keyif almak sizin için büyük lüks ama elden gelen bi şey yok. diğer insanları kiskanmamayi öğrenmemiz gerekiyor."
distimi,"sanırım muzdarip olduğum rahatsızlık; çünkü kendimi bildim bileli yorgun ve umutsuzum. ve sürekli uykum var. dünyadaki varoluş amacımızı sorguluyorum sürekli, her şey anlamsız geliyor. 2 yıl değil çok daha uzun yıllardır böyle hissediyorum. çevremdeki insanlar beni tembel, memnuniyetsiz, kararsız ve karamsar olarak biliyor; haliyle ben de öyle tanıdım kendimi. ama sanırım çekilmez bir hal almaya başladı bu şey. bana psikyatriste git aklını vermeden önce daha verimli bir bilgi verecek biri varsa çok sevinirim. daha önceki tedavi tecrübelerim güvenimi kırdı. beni ilaç manyağı yapmak üzere samimiyetsizce dinleyenlerine denk geldim belki de. artık yorgun hissetmek istemiyorum; yorgun hissetmekten yoruldum..."
distimi,hastalık olarak adlandırıyorunuz da kimisi için tedavi olunursa kendinden geriye bir şey kalmaz diye çekindiği kimliğidir
distimi,"bireysel planda, yaşamını daha iyiye değil de katlanılabilir ölçüde daha kötüye götürmeye çalışma planları olsa insanın. hedefe ulaşmak ulaşamamak ayrı, kerterizini öyle almak bakımından. bu da sürdürülebilir mutsuzluk, sürdürülebilir anlamsızlık, sürdürülebilir kötülük olur muydu? mutsuzluk hastalığı demeye gelen distimi ile özdeş mi sayılmalıydı? (bkz: acıyı katlanılabilir hale getirmek)çok sayıda özkıyım/intihar girişimi olan ümit yaşar oğuzcan'ın çağdaş ölçülerle değerlendirilmesi nasıl olabilirdi? belki distimi, belki bipolar-ii tipinde iki uçlu duygudurum bozukluğu sorunuyla yaşıyordu. (bkz: ümit yaşar oğuzcan/@ibisile)""*bu devri ruhsal değişim durumlarına değişken keyifsizlik anlamına gelen ""zyklothymien"" adının verilmesini öngörmüştür. zyklothymien, grekçe, uzunca süren keyifsizlik anlamına gelen dysthymie* sözcüğünden kaynaklanmış."" serol teber - melankoli normal bir anomali(ilk giri tarihi: 1.6.2017)(bkz: distimik bozukluk), mutsuzluk hastalığı, kronik mutsuzluk(bkz: sürdürülebilir/@ibisile)"
distimi,"şiddeti nispeten daha az ama sürekli var olan depresif durum halidir. ""kronik depresyon bozukluğu"" olarak da adlandırılmaktadır. bu tanı için en az iki yıl boyunca semptomların gösterilmesi gerekmektedir. antidepresanlar genellikle yetersiz kaldığı için psikoterapi de gerektirmektedir."
distimi,25 yaşından sonra hepimizde var olan/olacak duygu-durum bozukluğu...
distimi,"araştırmalara göre, hayatları boyunca insanların % 3 ile 5 inde rastlanan, orta yoğunluktaki kronik depresyon biçimi. tabi rastlanma olasılığı, kadınlarda iki kat daha fazla. bir depresif bozukluğun distimi olarak tanımlanması için, en az iki yıl sürmüş olması gerekiyor. bunun yanında, bilinenin aksine distimilerin yarısı yirmi beş yaşından önce ortaya çıkıyor. sıradan depresyonlarda etkili olan psikoterapi ve ilaç tedavileri, distimik bozukluklarda da etkili olabilmekte."
distimi,tedavisi için psikoloğa mı yoksa psikiyatriste mi gidilmeli çözemediğim rahatsızlık. en doğru yol nedir bilen yazarsa büyük iyilik yapmış olur.
distimi,"öldürmeyip süründüren illet. polyanacılık oynayasım yok birader hayatın gerçekleriyle yüzleşmek gerek nereye kadar kafayı kuma gömecen, toplum tarafından aşırı pesimist ve melankolik olan tanımlanır bu illetten muzdarip olan kişiler , ancak bana göre kötümserlikten vs. den ziyade realistiktir bu insanlar. işte gerçekler de acıttığı için pek dostu olmuyor bu kişilerin. çözüme gelince henüz orasını ben de çözemedim araştırmaya devam ediyorum. tüm depresyon hastalığından muzdarip kişilere verilen tavsiyeler bana saçma geliyor ,arkadaş adam kendini değersiz asosyal bir pislik gibi hissediyor siz adama diyorsunuz ki git topluma karış spor yap meditasyon yap falan, o işler öyle olmuyor işte güzel kardeşim böyle hislere sahip bir insanın bu denilenleri yapabilmesi çok ama çok zor."
distimi,"dsm 5'e göre; major depresyon tanısını karşılayacak kadar şiddetli olmayan, en az 1 yıl devam eden kronik depresif duygudurum bozukluğu. belirtilerin olmadığı dönemler 2 aydan daha kısa sürelidir ve geçmişte mani, hipomani veya miks atak öyküsü bulunmamaktadır."
distimi,"günlük aktivitelere ilgi kaybı, umutsuz hissetmek, üretkenlikten yoksun olmak, düşük özgüven ve genel bir yetersizlik hissi gibi semptomlarla yıllar boyunca devam ederek ilişkilerinizi, okulunuzu, işinizi ve gündelik yaşantınızı önemli ölçüde etkileyen depresyon türü. eğer kronik depresyondan muzdaripseniz mutlu durumlarda bile iyimser olmakta zorlanabilir; kasvetli bir kişiliğe sahip olmaktan, eğlenememekten, mutlu olamamaktan ve yetersiz hissetmekten şikayet ederseniz. kronik depresyon majör depresyon kadar şiddetli olmasa da mevcut depresif ruh haliniz hafif, orta veya şiddetli olabilir. kronik depresyonun doğası nedeniyle depresyon belirtileriyle baş etmek zordur; ancak konuşma terapisi (bkz: psikoterapi) ve ilaç kombinasyonu bu durumun tedavisinde etkili olabilir. kronik depresyonun kesin nedeni bilinmemektedir. majör depresyonda olduğu gibi birden fazla neden olabilir. biyolojik farklılıklar: kronik depresyona sahip olan kişilerin beyinlerinde fiziksel değişiklikler olabilir. bu değişikliklerin sebebi hala belirsiz olmakla beraber araştırmalar devam etmektedir. beyin kimyası: nörotransmiterler, doğal şekilde oluşan ve depresyonda rol oynayan beyin kimyasallarıdır. son araştırmalar, bu nörotransmiterlerin işlev ve etkisindeki değişikliklerin ve duygudurum dengesinin korunmasında yer alan nörosirküitler ile ne şekilde etkileşime girdiklerinin depresyon ve tedavisinde önemli bir rol oynayabileceğini göstermektedir.kalıtsal özellikler: kronik depresyon, ailesinde kronik depresyon öyküsü olan kişilerde daha yaygın gibi görünmektedir. depresyona neden olabilecek genleri bulmak için yürütülen çalışmalar devam etmektedir.yaşantı: majör depresyonda olduğu gibi sevilen birinin kaybı, maddi problemler veya yüksek düzeyde stres gibi travmatik olaylar bazı insanlarda kalıcı depresif bozukluğu tetikleyebilir."
distimi,"teşhisi konulan hastalığım. yanında anksiyete ve dikkat bozukluğu ile birlikte. hatırlayamadığım kadar eskiye dayanan bir depresyon, nerede başladı hangi olay tetikledi bilemiyorum."
distimi,"distimide hayat gri, siklotimide pembe gri denebilir hayatin rengi."
distimi,"hafif şiddette uzun süre devam eden depresyon hali.uzun süreli mutsuzluk, karamsarlık, isteksizlik vb. söz konusudur.bir başka ifadeyle kronik depresyon da denilebilir."
distimi,"kendimde olduğuna salık verdiğim rahatsızlık. kendimi bildim bileli böyle miydim, yoksa öncesinde tetiklenen bir durum mu var bilmiyorum. ama bildiğim bir şey var ki, üzücü.. düşünsenize tüm ömür boyunca emek, zaman verdiğiniz hiç bir şey aslında bir şeye hizmet etmiyor. yani, çalışmak, çevreye güler yüzle iyiyim imajı vermek, hayatta kalmak için son dala tutunmanın yoruculuğu. bunların tek karşılığı sizin için canlı kalabilmek. canlı kalabilmek evet, fazlası değil. fazlası zira ömrüm boyunca olmadı. nadiren tabi iyi hissettiğim anlar oldu. ama çoğu an, çoğu mekan birbirinin aynı. bir söz vardı nereden duyduğumu hatırlamıyorum,nereye gidersen git kendinlesin. öte yandan, bencilce bir durum gibi de, tüm zamanınız kendinizi eleştirmek, suçlamakla geçiyor, ama sürekli kendiniz; dünyada olan biten değil, sen, sen veyine sen. aslında orada önceliğin sen olması bencillikten değil de, önce kendin mutlu ol, sonra çevreni mutlu edersin düşüncesiyle de uyumlu. yani düğümü çözmeden yol akmıyor. nitekim zor, saçma, küçümsediğim ve kızdığım bir hastalık. her an yüzüstü bırakabilme gücü fazlasıyla yüksek. sürekli motivasyon kontrolü yapmak, tam moral olarak düşecekken, hayır bak herkes mutlu demek ki bu mutlu olunacak bir şey diye kendini yükseltmeye çalışmak, hep geçici çözüm üreterek tempoyu yakalamaya çalışmak, fake it until you make it düşüncesini kara çıkartmak ve sonucunda da yorulmak. zamanın çok değerli olduğunu bilerek durakları kaçırmamaya çalışmak, ama her durağa vardığında da çok yorgun olduğunu farketmek ve durağa haksızlık etmek. senaryolar birbirinin aynı, şaşırmamak gerek; çünkü çözüm bulunamıyorsaeğer, konu içeriği ne kadar değişse de başrol sürekli aynı davrandığından aynı sonucun çıkması gayet normal, ve işte bir sarmal, hep sizinle, hep size yeminli bir depresyon sarmalı. derecesi ne olursa olsun, bazen altı kısık bazen orta şiddetli sizinle, en kadim dostunuz. bir diğer kızdığım ve anlamadığım nokta da, ölüm, sağlık sorunu, büyük problemler yaşamamış olmama rağmen bunca inada anlam verememem. uzaktan bakınca gerçekten tam havuz dibine oturup ağlayan bir burjuva depresyonu gibi duruyor öyle değil mi? ya da tembel ve bencil, mızmızlanan ve yaşlı ergen gibi takılmayı kendinekimlik edinmiş bir marjinal gibi. içerden bildiriyorum değil. bilemiyorum, bir gün pil tükenecek ve geçmişe dönüp bakınca koca bir yaşanmamışık göreceğim, hakkıyla yaşanamamış bir hayat. psikoterapi ve ilaç tedavisi mümkün sanırım deneyimlemedim, ama tecrübe edeceğim yakın zamanda. yine de sanki öylesine sana bağlı bir şeyin tereyağından kıl çeker gibi senden ayrılması sanırım kolay olmayacaktır."
distimi,"en az 2 yıl süren, çok ağır olmayan depresyon belirtisi. uyku bozukluğu, süreğen mutsuzluk ve karamsarlık, halsizlik, istek ve ilgi azlığı, farklı somatik yakınmalar görülür. (bkz: türk gençliği)"
distimi,"ruhun hastalanması. ruhun varlığına inanmayanlar içinse geçmeyen depresyon. benim içinse hayatımı elimden alan azılı düşmanım. hiçkimseyi bırakmadı etrafımda kendinden ve mutsuzluğumdan başka. sevmez çünkü normal insanlar böyle mutsuz, karamsar, memnuniyetsiz insanları. girdap gibiyizdir çünkü (bkz: uzun süre uçuruma bakarsan uçurum da sana bakar). hal böyle olunca denize düşen de ancak kendisi gibi tutunamayanlara sarılır. iki tutunamayan başlarda birbirine iyi gelir çünkü anlarlar birbirlerini. anlaşılmak hafifletir çünkü...yalnızlığın da hayatın açtığı yaraların da hayatı azılı bir düşman olarak görmenin acısını da..ama acı bencildir. can havliyle koşuşturur bu insanlar, tutunacak bir şey arar. işte o sıralarda unuturlar sarıldıkları diğer tutunamayanı da en yakın dostunu da ailesini de işini de sağlığını da...tabi böyle de olmayabilir, ama genelde böyle olur ve böyle oldukça hayata dair umutlarınız tükenmeye devam eder ama bitmez bir türlü. bu hastalığın -azılı düşmanımın- bir müttefiği varsa o da umuttur. bir gün her şeyin düzeleceğini umut edersiniz içten içe. her sabah. lanet olası her sabah o gün düzeleceğinizi umarsınız içten içe. her hafta başı. her ayın 1'i. her özel gün. her yılbaşı. her doğum günü...bu günleri sevmiyorum. bu günler hep umut. bu günler benden kendime dair inancımı, mücadele hırsımı çaldı. çünkü her lanet olası gün düzeleceğime inandım hep bir şeyler için kendime söz verdim ve tutamadım. tutamadıkça daha da yenik düştüm. tutamadıkça daha da yalnızlaştım. çünkü bu öyle bir ruh bozulmasıdır ki insanı dış dünyadan tamamiyle soyutlamak ve bir kuyuya kapatmak ister. herkesten tamamen uzaklaştırmak...çünkü her şey aslında sana zarar verebilecek bir unsurdur. hiçbir şey yapmadan, hiçbir riske girmeden, konfor alanından çıkmadan yaşatmak ister insanı çünkü seni o kuyuya atan bir şeyler vardır ve o şeylere daha fazla maruz kalmanı istemez. seni o kuyuda muhafaza eder. sen o kuyuya lanet eder, azılı düşmanın bellersin orayı. oysa sadece saldıra maruz kalan bilincin, bilinçsiz savunmasıdır depresyon. ama onunla barışmak bile çözüm değildir. saatlerce gittiğin terapiler bir noktaya kadar ilerlemeni sağlar ama seni çıkaramaz o kuyudan. bilirsin de aslında nasıl çıkacağını. tekmelemen gerektiğini bilirsin. düzenli bir hayata geçmen gerektiğini bilirsin. ama yapamazsın işte. yapamazsın. yapamadım. 6. senemize girdik. bugün bu başlığa entry yazan kişilere yazdım hep. ''geçti mi?'' dedim. ah işte o umut."
distimi,"distimi ile ""nefret"" arasında görünmeyen, belli belirsiz ince bir çizgi vardır. kabul ettiğiniz yaşantının sebebinin ""kendiniz"" olmadığınızı fark ettiğinizde ""nefret"" daha belirgin hissedilir. ardından ""haksızlığa uğramışlık hissi"" kendini belli eder. ya da sadece ritalin bağlımlısı olmuşsunuzdur."
distimi,"çocuk yaştan beri muzdarip olduğum hede. öldürmez, süründürür. her psikolojik rahatsızlıkta olduğu gibi bunu da kendine yakıştırmaya meraklı birçok insan görüyorum fakat ne zaman bunların ciddi rahatsızlıklar olduğunu tam anlamıyla kavrayabileceğiz merak içindeyim. depresif hissetmek, depresyonda olmak, majör depresyon veya distimi (bkz: kronik depresyon) sahibi olmak tamamen birbirinden farklı şeyler, öncelikle bunda bir anlaşalım.distimi, beyin kimyasını bütünüyle bozan bir rahatsızlık olduğundan ilaçlara direnmek belli bir raddeden sonra yalnızca boşa kürek çekmek oluyor, ben kendimde bunu deneyimledim. ''her şey insanın kendi kafasında biter'' gibi beylik laflar ederken ve iyileşmek adına yoğun çaba sarf ederken hayatımın daima daha da tepe taklak hale gelişini izlemek epey acı verici bir süreçti benim için. yine de, bu seferden eliniz boş döneceksiniz diye bir şey yok. neredeyse 5 yaşımdan beri aralıksız depresyonda olduğumdan, depresyondan çıkmayı tam anlamıyla başaramasam da sürünecek raddeye gelmemek için neler yapmam gerektiğini idrak ettim epey. onun için buraya: (bkz: #108630217)neyse, ne dedik, beyin dedik. standart işleyişe sahip bir bireyin beyninde serotonin hormonu frontal lobu uyarıp kişiye mutluluk hissi verirken depresyon sahibi bireylerde aynı seviyelerde bir uyarım gerçekleşmiyor. dolayısıyla beyin işlemesi gerektiği gibi işlemediği için sonsuz bir kısırdöngüye girmişsiniz gibi oluyor. devamlı yorgunluk, mutsuzluk, huzursuzluk, umutsuzluk, endişe, odaklanamama, tekrarlayan intihar düşünceleri/teşebbüsleri gibi gibi... sağlıklı beyin vs kronik depresyon sahibi beyin için tıkdistimi için yukarıda saydığım belirtilerin hepsi genelde hafif-orta düzeylerde, fakat sürekli hissedilen eksiklikler oluyor. arada dalgalanmalar yaşayıp majör depresyon seviyelerine erişmeniz olası. epey hafiflediği, hatta kendini hissettirmediği 1-2 aylık süreçler de olabilir fakat kavuşmanız genelde uzun sürmez. en nihayetinde, kronik depresyon çok ciddi bir rahatsızlık. uzun yıllardır aynı şeyleri hissettiğiniz için bunların sizin karakteristik özellikleriniz olduğu yanılgısına düşmemekte fayda var. 2-3 aylık bir çöküş yaşamaya benzemiyor. yıllarınız, ömrünüz bu uğurda yavaş yavaş çürüyor olabilir siz farkında varmadan. dışarıda çok sağlıklı ve neşeli görünebilirsiniz fakat eve geldiğinizde veya sabahları gözünüzü ilk açtığınızda ne hissettiğinizi en iyi siz bilirsiniz. kimse kendine bunu yapmamalı.amacım ilaç kullanımına özendirmek değil fakat bahsettiğim gibi, beyin fonksiyonlarınızın hasar görmesine kadar uzayabiliyor mevzu. günlük hayatta iş, okul, ilişkiler, borçlar gibi daha türlü türlü birçok stres faktörüyle karşı karşıyayken distimiye direnmemekte fayda var. 3 gün ilaç kullanıp ''aman çok uykum geldi, midem bulandı, başım döndü'' gibi türlü türlü bahaneler uydurup ilacı bırakan insanlara kulak asmayın. ssri kullanımı sayesinde beynin ihtiyaç duyduğu serotonini sağlamak mümkün. ilk 2 hafta kadar, yan etkiler son derece hırpalayıcı olabilir fakat sonrasında çoğu zaman bunlar tarihe karışıyor. tabii öncelikle ilaçlarla ilgili bilgi sahibi olmak ve bilgiyi doğru kaynaklardan almak önemli. ne kadar süre kullanacağınız, ilaç dozu, ilaç seçimi gibi kritik noktaları işinde uzman bir psikiyatriste bırakmak çok önemli. zamanı gelince bu küçük mavi hapçıklarla sarıla öpüşe vedalaşırsınız zaten."
distimi,"-ama doktor, ben hasta değilim...allah rızası için... size anlattım.tekrar gözlerini gözlerime dikti en katî sesiyle:-hastasınız... diye kesip attı. psikanaliz çıktığından beri hemen herkes az çok hastadır.ahmet hamdi tanpınar, saatleri ayarlama enstitüsü"
distimi,"bir ara buraya kişisel deneyimlerimi, ilaç ve terapinin etkilerini falan editleyeceğim inşallah. şu an biraz uykum var. ben bir kırılma noktası yaşadım. insanların özünde iyi olduğu düşüncesinden kötü olduğu düşüncesine geçiş yaptım. bu konu yukarıdaki bir entryde enfes şekilde anlatılmış. çocukluğumdan da gelen harika travmatik olaylar da iyi bir altyapı oluşturdu bu sümüksü illet için. insanı bok gibi hissettiren bir hastalık kısaca. sürekli bir arayışa sokuyor. buldum diyorsunuz iki gün sonra tekrar boka batıyormuş gibi hissediyorsunuz."
distimi,her sabah aynadakendi yüzüne gülümsebu bir sırdırzamanla anlarsınsabri tandoğan
distimi,ben gülerken bile mutsuzum hastalığı.
distimi,"hafif düzeyde ruhsal cokkunluk, depresyon belirtilerinin -umutsuzluk, isteksizlik, enerji azalması, durgunluk, iştahsızlık, uyku sorunu- kişide sürekli bulunması haline verilen ad. bir nevi süreğen hafif depresyon durumu da denilebilir."
distimi,"10 yıldır yaşıyorum. aklınıza gelecebilecek her türlü terapi yöntemini denedim.en çok faydayı ilaçlı tedavide gördüm. evet düzeldiğime inandım. ama sonra bir gün pat yine işte burda sanki ben hiç gitmedim ki bekliyordum der gibi. tekrardan terapiye gitmek bile yorucu. en zor kısmı da insanlar. 'takma ya, allah başka dert vermesin,sağlığın yerinde,neyi bu kadar dert ediyorsun.' bu insanlar konuşurken onları saksı gibi görerek işe başlayabilirsiniz."
distimi,"kronik bazal depresyon olarak da tarif edilebilir. bu kişiler günlük aktivitelerini ve sorumluluklarını yerini getirebilmekle birlikte sürekli mutsuz, isteksiz ve karamsar olurlar. bilişsel davranışçı terapiye başladık hayırlısıyla. (bkz: 8-9 senedir kendimi iyi hissetmiyorum)"
distimi,"2 yıldan fazla sürmesi koşuluyla depresyon kritlerlerini karşılamaması kaydıyla:çökkünlüğe eşlik eden aşağıdakilerden iki tanesinin olması tanı koydurur: iştahsızlık, uyku bozukluğu, anerji, düşük özgüven, konsantrasyon bozukluğu, umutsuzluk."
distimi,"bazı insanlar vardır onlar hüzne teşne, üzgünlüğe matuf, bilhassa kendileriyle kalınca hafif içe kapanık olurlar. işte bu insanlara denir. sanılanın aksine bir bozukluktan ziyade bir kişilik yapısıdır."
distimi,"depresyonun hafif versiyonu kesinlikle değildir, depresyondan daha az tehlikeli falan da değildir. depresyon şiddeti ne kadar yüksek olursa ilaca yanıt o kadar yüksek oluyor. distimi süreğen olduğu için ve ataklar halinde gelmediği için ilaca yanıt daha düşük oluyor. distimik bireylerin tedaviye başvurma oranı da oldukça düşük. distiminin insanı kemiren, işlevselliği düşüren ne kadar tehlikeli bir bozukluk olduğunu anlatmak için bir hocamız ""2 yıl distimik yaşayacağıma bir ay depresyon atağı geçirmeyi tercih ederdim"" demişti."
distimi,"bende olduğunu düşündüğüm rahatsızlık. doktora da gitmediğim için kendi kendime teşhis koymak istemiyorum. kendimi bildim bileli mutsuzum, neredeyse her şeye karşı motivasyonum sıfır, dışarıdan bakıldığında kısa sürede anlaşılabilecek düzeyde enerji düşüklüğü, mutsuzluk. anlamsız, hafif düzeyde acı, yok olma isteği, özgüven düşüklüğü, ben doğmamalıydım, varolmamalıydım, kesin simülasyonda bir şeyler ters gitti ben oyun içindeki bir glitchim (hata) ben buraya ait değilim çıkarın beni buradan hissi. depresyondaki hastalar eskisi gibi olmak ister ama sen isteyemezsin zira senin eskin de bugünün de aynıdır."
distimi,muzdarip olduğum kronik depresyon hali. dehb'le birlikte ölüm kombosu olarak hayatımı siken durum.
